小幡 恵望子	おばた えみこ	obata_emiko@example.com	女	60	1958/9/18	既婚	福岡県	090-4826-8978	ドコモ	ぶっかけ・ルー攻め派
菅井 貴美子	すがい きみこ	sugai_kimiko@example.com	女	58	1960/6/10	既婚	京都府	090-8919-4562	ドコモ	ぶっかけ・せき止め派
田辺 さとみ	たなべ さとみ	tanabe_satomi@example.com	女	79	1939/8/29	既婚	東京都	080-5367-2433	au	奥ルー・ルー攻め派
早坂 勇介	はやさか ゆうすけ	hayasaka_yuusuke@example.com	男	38	1980/4/18	既婚	東京都	090-4230-5452	ドコモ	ぶっかけ・別口派
足立 孝太郎	あだち こうたろう	adachi_koutarou@example.com	男	33	1985/6/4	既婚	福島県	080-7543-7701	au	左ルー・せき止め派
黒沢 恵麻	くろさわ えま	kurosawa_ema@example.com	女	72	1946/2/12	既婚	茨城県	080-2512-3297	ドコモ	左ルー・せき止め派
浅井 祐一	あさい ゆういち	asai_yuuichi@example.com	男	72	1946/8/5	既婚	大阪府	080-9738-8596	ソフトバンク	左ルー・ルー攻め派
中村 貴嶺	なかむら たかね	nakamura_takane@example.com	男	42	1976/9/6	既婚	大阪府	090-3142-4715	ドコモ	ぶっかけ・混ぜ混ぜ派
綾小路 満	あやのこうじ みつる	ayanokouji_mitsuru@example.com	男	79	1939/3/4	既婚	神奈川県	080-3794-9009	au	ぶっかけ・ナン派
土井 恵子	どい けいこ	doi_keiko@example.com	女	42	1976/8/14	未婚	埼玉県	090-5967-8081	ドコモ	左ルー・別口派
新垣 孝太郎	にいがき こうたろう	niigaki_koutarou@example.com	男	24	1994/1/18	未婚	奈良県	080-9690-8151	au	ぶっかけ・ルー攻め派
浅野 有起哉	あさの ゆきや	asano_yukiya@example.com	男	26	1992/5/19	未婚	千葉県	080-9403-9008	ソフトバンク	奥ルー・ルー攻め派
菅原 勝久	すがわら かつひさ	sugawara_katsuhisa@example.com	男	79	1939/8/13	既婚	茨城県	080-3285-5480	ドコモ	ぶっかけ・せき止め派
小泉 文世	こいずみ ふみよ	koizumi_fumiyo@example.com	女	60	1957/11/23	既婚	山口県	090-8220-9955	ソフトバンク	左ルー・せき止め派
高瀬 恵梨香	たかせ えりか	takase_erika@example.com	女	79	1939/8/12	既婚	大阪府	080-9849-9411	ドコモ	左ルー・せき止め派
田口 あさみ	たぐち あさみ	taguchi_asami@example.com	女	76	1941/11/12	既婚	長野県	080-2723-4039	ドコモ	手前ルー・せき止め派
小平 愛	こひら あい	kohira_ai@example.com	女	74	1943/11/7	既婚	愛知県	080-9091-1846	ソフトバンク	左ルー・ルー攻め派
山中 なつみ	やまなか なつみ	yamanaka_natsumi@example.com	女	60	1958/3/2	既婚	兵庫県	080- 968-4871	ソフトバンク	ぶっかけ・別口派
黄川田 遥	きかわだ はるか	kikawada_haruka@example.com	女	79	1939/5/26	既婚	長崎県	080-1824-4067	ソフトバンク	奥ルー・混ぜ混ぜ派
有田 さやか	ありた さやか	arita_sayaka@example.com	女	62	1955/12/11	未婚	兵庫県	080-2399- 909	ドコモ	左ルー・ルー攻め派
香川 努	かがわ つとむ	kagawa_tsutomu@example.com	男	28	1989/12/25	未婚	千葉県	090- 577-6074	ソフトバンク	ぶっかけ・ルー攻め派
宮田 愛菜	みやた あいな	miyata_aina@example.com	女	64	1954/1/22	既婚	山口県	080-6272-2149	au	ぶっかけ・せき止め派
樋口 淳	ひぐち あつし	higuchi_atsushi@example.com	男	77	1941/4/15	既婚	長崎県	080-8684-2372	ドコモ	左ルー・混ぜ混ぜ派
滝川 優一	たきがわ ゆういち	takigawa_yuuichi@example.com	男	78	1940/4/25	既婚	山口県	090-5412-2363	ソフトバンク	別盛り・せき止め派
長谷川 育子	はせがわ いくこ	hasegawa_ikuko@example.com	女	72	1946/9/10	既婚	東京都	090-5624- 950	ドコモ	左ルー・別口派
